,from,to,percentage
1033,ano,anot,1.0
1034,anot,anoth,1.0
1035,anoth,anothe,1.0
1036,anothe,another,1.0
1037,another,another,1.0
1038,ar,arr,1.0
1039,arr,arri,1.0
1040,arri,arriv,1.0
1041,arriv,arrivi,1.0
1042,arrivi,arrivin,1.0
1043,arrivin,arriving,1.0
1044,arriving,arriving,1.0
1045,ag,agr,1.0
1046,agr,agre,1.0
1047,agre,agree,1.0
1048,agree,agreei,1.0
1049,agreei,agreein,1.0
1050,agreein,agreeing,1.0
1051,agreeing,agreeing,1.0
1052,ac,act,0.19429456
1053,ac,acc,0.80570544
1054,act,actu,0.99990001
1055,act,acti,9.999e-05
1056,actu,actua,1.0
1057,actua,actual,1.0
1058,actual,actuall,1.0
1059,actuall,actually,1.0
1060,actually,actually,1.0
1061,acti,actin,1.0
1062,actin,acting,1.0
1063,acting,actings,1.0
1064,actings,actings,1.0
1065,acc,acce,1.0
1066,acce,accep,1.0
1067,accep,accept,1.0
1068,accept,accepte,0.5591716
1069,accept,accepts,0.4408284
1070,accepte,accepted,1.0
1071,accepted,accepted,1.0
1072,accepts,accepts,1.0
1073,av,avo,1.0
1074,avo,avoi,1.0
1075,avoi,avoid,1.0
1076,avoid,avoidi,1.0
1077,avoidi,avoidin,1.0
1078,avoidin,avoiding,1.0
1079,avoiding,avoiding,1.0
1080,al,all,0.77070142
1081,al,alt,0.22929858
1082,all,allo,1.0
1083,allo,allow,1.0
1084,allow,allowi,0.51711694
1085,allow,allowe,0.48288306
1086,allowi,allowin,1.0
1087,allowin,allowing,1.0
1088,allowing,allowing,1.0
1089,allowe,allower,9.22e-06
1090,allowe,allowed,0.99999078
1091,allower,allowers,1.0
1092,allowers,allowers,1.0
1093,allowed,allowed,1.0
1094,alt,alth,1.0
1095,alth,altho,1.0
1096,altho,althou,1.0
1097,althou,althoug,1.0
1098,althoug,although,1.0
1099,although,although,1.0
1100,ad,adm,1.0
1101,adm,admi,1.0
1102,admi,admit,1.0
1103,admit,admitt,1.0
1104,admitt,admitte,1.0
1105,admitte,admitted,1.0
1106,admitted,admitted,1.0
1107,ai,air,1.0
1108,air,airi,1.0
1109,airi,airin,1.0
1110,airin,airing,1.0
1111,airing,airings,1.0
1112,airings,airings,1.0
1113,p,po,0.20327556
1114,p,pr,0.32233374
1115,p,pl,0.25029003
1116,p,pi,0.0991276
1117,p,pe,0.00112797
1118,p,pa,0.02106542
1119,p,pu,0.10277968
1120,po,pos,0.48267067
1121,po,poc,0.04019039
1122,po,pow,0.16954038
1123,po,pol,0.12133491
1124,po,poi,0.11341016
1125,po,pou,0.01625518
1126,po,por,0.00895127
1127,po,pop,0.01455198
1128,po,poo,0.03309507
1129,pos,posi,0.35857082
1130,pos,poss,0.64142918
1131,posi,posit,1.0
1132,posit,positi,1.0
1133,positi,positio,1.0
1134,positio,position,1.0
1135,position,positioni,0.08422301
1136,position,positions,0.91577699
1137,positioni,positionin,1.0
1138,positionin,positioning,1.0
1139,positioning,positioning,1.0
1140,positions,positions,1.0
1141,poss,possi,1.0
1142,possi,possib,1.0
1143,possib,possibl,1.0
1144,possibl,possible,1.0
1145,possible,possibles,1.0
1146,possibles,possibles,1.0
1147,poc,pock,1.0
1148,pock,pocke,1.0
1149,pocke,pocket,1.0
1150,pocket,pocketi,0.0176747
1151,pocket,pockete,0.01174908
1152,pocket,pockets,0.97057622
1153,pocketi,pocketin,1.0
1154,pocketin,pocketing,1.0
1155,pocketing,pocketing,1.0
1156,pockete,pocketed,1.0
1157,pocketed,pocketed,1.0
1158,pockets,pockets,1.0
1159,pow,powe,1.0
1160,powe,power,1.0
1161,power,poweri,0.05061758
1162,power,powere,0.94938242
1163,poweri,powerin,1.0
1164,powerin,powering,1.0
1165,powering,powering,1.0
1166,powere,powered,1.0
1167,powered,powered,1.0
1168,pol,poli,1.0
1169,poli,polic,1.0
1170,polic,polici,0.15160745
1171,polic,police,0.84839255
1172,polici,policin,1.0
1173,policin,policing,1.0
1174,policing,policing,1.0
1175,police,polices,0.99321899
1176,police,policed,0.00678101
1177,polices,polices,1.0
1178,policed,policed,1.0
1179,poi,poin,1.0
1180,poin,point,1.0
1181,point,pointe,0.5365677
1182,point,pointi,0.4634323
1183,pointe,pointer,0.1902834
1184,pointe,pointed,0.8097166
1185,pointer,pointers,1.0
1186,pointers,pointers,1.0
1187,pointed,pointed,1.0
1188,pointi,pointin,1.0
1189,pointin,pointing,1.0
1190,pointing,pointing,1.0
1191,pou,pour,1.0
1192,pour,poure,0.00980095
1193,pour,pouri,0.99019905
1194,poure,pourer,1.0
1195,pourer,pourers,1.0
1196,pourers,pourers,1.0
1197,pouri,pourin,1.0
1198,pourin,pouring,1.0
1199,pouring,pouring,1.0
1200,por,porc,1.0
1201,porc,porch,1.0
1202,porch,porche,1.0
1203,porche,porches,1.0
1204,porches,porches,1.0
1205,pop,popp,1.0
1206,popp,poppe,0.23532731
1207,popp,poppi,0.76467269
1208,poppe,popper,1.0
1209,popper,poppers,1.0
1210,poppers,poppers,1.0
1211,poppi,poppin,1.0
1212,poppin,popping,1.0
1213,popping,popping,1.0
1214,poo,poor,0.44292804
1215,poo,pool,0.55707196
1216,poor,poore,1.0
1217,poore,poores,1.0
1218,poores,poorest,1.0
1219,poorest,poorest,1.0
1220,pool,pooli,1.0
1221,pooli,poolin,1.0
1222,poolin,pooling,1.0
1223,pooling,pooling,1.0
1224,pr,pro,0.4109986
1225,pr,pre,0.5890014
1226,pro,prom,0.18850997
1227,pro,prob,0.70501346
1228,pro,prov,0.10647656
1229,prom,promi,1.0
1230,promi,promis,1.0
1231,promis,promise,0.79178067
1232,promis,promisi,0.20821933
1233,promise,promiser,1.574e-05
1234,promise,promised,0.36259454
1235,promise,promises,0.63738971
1236,promiser,promisers,1.0
1237,promisers,promisers,1.0
1238,promised,promised,1.0
1239,promises,promises,1.0
1240,promisi,promisin,1.0
1241,promisin,promising,1.0
1242,promising,promising,1.0
1243,prob,probl,0.79803396
1244,prob,proba,0.20196604
1245,probl,proble,1.0
1246,proble,problem,1.0
1247,problem,problems,1.0
1248,problems,problems,1.0
1249,proba,probab,1.0
1250,probab,probabl,1.0
1251,probabl,probably,1.0
1252,probably,probably,1.0
1253,prov,provi,1.0
1254,provi,provin,1.0
1255,provin,proving,1.0
1256,proving,proving,1.0
1257,pre,pret,0.03774698
1258,pre,pres,0.47337994
1259,pre,prep,0.48887308
1260,pret,prett,0.23247147
1261,pret,prete,0.76752853
1262,prett,pretti,1.0
1263,pretti,prettie,1.0
1264,prettie,pretties,0.78657315
1265,prettie,prettier,0.21342685
1266,pretties,prettiest,1.0
1267,prettiest,prettiest,1.0
1268,prettier,prettier,1.0
1269,prete,preten,1.0
1270,preten,pretend,1.0
1271,pretend,pretende,0.49468892
1272,pretend,pretends,0.50531108
1273,pretende,pretended,1.0
1274,pretended,pretended,1.0
1275,pretends,pretends,1.0
1276,pres,press,1.0
1277,press,pressi,0.00053122
1278,press,presse,0.99946878
1279,pressi,pressin,1.0
1280,pressin,pressing,1.0
1281,pressing,pressings,1.0
1282,pressings,pressings,1.0
1283,presse,presser,0.00017376
1284,presse,pressed,0.11522161
1285,presse,presses,0.88460463
1286,presser,pressers,1.0
1287,pressers,pressers,1.0
1288,pressed,pressed,1.0
1289,presses,presses,1.0
1290,prep,prepa,1.0
1291,prepa,prepar,1.0
1292,prepar,prepari,0.19244604
1293,prepar,prepare,0.80755396
1294,prepari,preparin,1.0
1295,preparin,preparing,1.0
1296,preparing,preparing,1.0
1297,prepare,prepares,0.39755011
1298,prepare,prepared,0.60244989
1299,prepares,prepares,1.0
1300,prepared,prepared,1.0
1301,pl,ple,0.08466392
1302,pl,pla,0.91533608
1303,ple,plea,1.0
1304,plea,pleas,1.0
1305,pleas,pleasi,0.0961084
1306,pleas,please,0.9038916
1307,pleasi,pleasin,1.0
1308,pleasin,pleasing,1.0
1309,pleasing,pleasings,1.0
1310,pleasings,pleasings,1.0
1311,please,pleased,0.97611992
1312,please,pleases,0.02388008
1313,pleased,pleased,1.0
1314,pleases,pleases,1.0
1315,pla,plat,0.00721364
1316,pla,plas,0.06375692
1317,pla,plan,0.09363159
1318,pla,play,0.83539784
1319,plat,plati,1.0
1320,plati,platin,1.0
1321,platin,plating,1.0
1322,plating,platings,1.0
1323,platings,platings,1.0
1324,plas,plast,1.0
1325,plast,plasti,1.0
1326,plasti,plastic,1.0
1327,plastic,plastics,1.0
1328,plastics,plastics,1.0
1329,plan,plann,1.0
1330,plann,planni,1.0
1331,planni,plannin,1.0
1332,plannin,planning,1.0
1333,planning,planning,1.0
1334,play,playe,0.15263846
1335,play,playi,0.84736154
1336,playe,player,1.0
1337,player,players,1.0
1338,players,players,1.0
1339,playi,playin,1.0
1340,playin,playing,1.0
1341,playing,playing,1.0
1342,pi,pic,1.0
1343,pic,pict,0.99924219
1344,pic,pick,0.00075781
1345,pict,pictu,1.0
1346,pictu,pictur,1.0
1347,pictur,picturi,0.00162632
1348,pictur,picture,0.99837368
1349,picturi,picturin,1.0
1350,picturin,picturing,1.0
1351,picturing,picturing,1.0
1352,picture,pictured,0.02261985
1353,picture,pictures,0.97738015
1354,pictured,pictured,1.0
1355,pictures,pictures,1.0
1356,pick,picki,1.0
1357,picki,pickin,1.0
1358,pickin,picking,1.0
1359,picking,pickings,1.0
1360,pickings,pickings,1.0
1361,pe,per,0.93791624
1362,pe,peo,0.06208376
1363,per,pers,0.38027613
1364,per,perf,0.61972387
1365,pers,perso,1.0
1366,perso,person,1.0
1367,person,persona,1.0
1368,persona,personal,1.0
1369,personal,personals,1.0
1370,personals,personals,1.0
1371,perf,perfe,1.0
1372,perfe,perfec,1.0
1373,perfec,perfect,1.0
1374,perfect,perfecte,0.8975175
1375,perfect,perfects,0.1024825
1376,perfecte,perfected,1.0
1377,perfected,perfected,1.0
1378,perfects,perfects,1.0
1379,peo,peop,1.0
1380,peop,peopl,1.0
1381,peopl,peopli,1.0
1382,peopli,peoplin,1.0
1383,peoplin,peopling,1.0
1384,peopling,peopling,1.0
1385,pa,par,0.32086805
1386,pa,pai,0.67913195
1387,par,pare,0.87618083
1388,par,part,0.12381917
1389,pare,paren,1.0
1390,paren,parent,1.0
1391,parent,parenti,0.99642022
1392,parent,parente,0.00357978
1393,parenti,parentin,1.0
1394,parentin,parenting,1.0
1395,parenting,parenting,1.0
1396,parente,parented,1.0
1397,parented,parented,1.0
1398,part,party,0.98533958
1399,part,parti,0.01466042
1400,party,partyi,1.0
1401,partyi,partyin,1.0
1402,partyin,partying,1.0
1403,partying,partying,1.0
1404,parti,partin,1.0
1405,partin,parting,1.0
1406,parting,partings,1.0
1407,partings,partings,1.0
1408,pai,pain,0.78763127
1409,pai,pair,0.21236873
1410,pain,paint,1.0
1411,paint,painti,1.0
1412,painti,paintin,1.0
1413,paintin,painting,1.0
1414,painting,paintings,1.0
1415,paintings,paintings,1.0
1416,pair,pairi,1.0
1417,pairi,pairin,1.0
1418,pairin,pairing,1.0
1419,pairing,pairings,1.0
1420,pairings,pairings,1.0
1421,pu,pul,0.00108406
1422,pu,put,0.75687139
1423,pu,pus,0.24204455
1424,pul,pull,1.0
1425,pull,pulli,0.01865308
1426,pull,pulle,0.98134692
1427,pulli,pullin,1.0
1428,pullin,pulling,1.0
1429,pulling,pullings,1.0
1430,pullings,pullings,1.0
1431,pulle,puller,1.0
1432,puller,pullers,1.0
1433,pullers,pullers,1.0
1434,put,putt,1.0
1435,putt,putti,1.0
1436,putti,puttin,1.0
1437,puttin,putting,1.0
1438,putting,putting,1.0
1439,pus,push,1.0
1440,push,pushe,0.0035229
1441,push,pushi,0.9964771
1442,pushe,pusher,1.0
1443,pusher,pushers,1.0
1444,pushers,pushers,1.0
1445,pushi,pushin,1.0
1446,pushin,pushing,1.0
1447,pushing,pushing,1.0
1448,t,tr,0.21416971
1449,t,te,0.21970639
1450,t,to,0.14105247
1451,t,th,0.33696119
1452,t,tw,0.00210551
1453,t,tu,5.849e-05
1454,t,ti,0.02292469
1455,t,ta,0.06302155
1456,tr,tra,0.69911718
1457,tr,tru,0.1160477
1458,tr,tro,0.16030033
1459,tr,tri,0.0240314
1460,tr,tre,0.00050338
1461,tra,trav,0.15888067
1462,tra,trai,0.37629023
1463,tra,trac,0.4648291
1464,trav,trave,1.0
1465,trave,travel,1.0
1466,travel,travell,0.00019832
1467,travel,travele,0.99980168
1468,travell,travelli,1.0
1469,travelli,travellin,1.0
1470,travellin,travelling,1.0
1471,travelling,travellings,1.0
1472,travellings,travellings,1.0
1473,travele,traveled,1.0
1474,traveled,traveled,1.0
1475,trai,train,1.0
1476,train,traini,1.0
1477,traini,trainin,1.0
1478,trainin,training,1.0
1479,training,training,1.0
1480,trac,track,1.0
1481,track,tracki,1.0
1482,tracki,trackin,1.0
1483,trackin,tracking,1.0
1484,tracking,tracking,1.0
1485,tru,trus,0.99791349
1486,tru,truc,0.00208651
1487,trus,trust,1.0
1488,trust,truste,0.9041029
1489,trust,trusti,0.0958971
1490,truste,truster,0.00017128
1491,truste,trusted,0.99982872
1492,truster,trusters,1.0
1493,trusters,trusters,1.0
1494,trusted,trusted,1.0
1495,trusti,trustin,1.0
1496,trustin,trusting,1.0
1497,trusting,trusting,1.0
1498,truc,truck,1.0
1499,truck,trucke,1.0
1500,trucke,trucked,1.0
1501,trucked,trucked,1.0
1502,tro,trou,1.0
1503,trou,troub,1.0
1504,troub,troubl,1.0
1505,troubl,trouble,1.0
1506,trouble,troubled,0.11413969
1507,trouble,troubles,0.88586031
1508,troubled,troubled,1.0
1509,troubles,troubles,1.0
1510,tri,trip,1.0
1511,trip,tripp,1.0
1512,tripp,trippi,0.56060606
1513,tripp,trippe,0.43939394
1514,trippi,trippin,1.0
1515,trippin,tripping,1.0
1516,tripping,tripping,1.0
1517,trippe,tripped,1.0
1518,tripped,tripped,1.0
1519,tre,tree,1.0
1520,tree,treei,1.0
1521,treei,treein,1.0
1522,treein,treeing,1.0
1523,treeing,treeing,1.0
1524,te,tel,0.19262641
1525,te,tea,0.76479898
1526,te,tee,0.00424149
1527,te,ter,0.03833312
1528,tel,tele,0.99961858
1529,tel,tell,0.00038142
1530,tele,telev,1.0
1531,telev,televi,1.0
1532,televi,televis,1.0
1533,televis,televisi,1.0
1534,televisi,televisio,1.0
1535,televisio,television,1.0
1536,television,televisions,1.0
1537,televisions,televisions,1.0
1538,tell,telli,1.0
1539,telli,tellin,1.0
1540,tellin,telling,1.0
1541,telling,tellings,1.0
1542,tellings,tellings,1.0
1543,tea,teac,0.96762966
1544,tea,tear,0.02459682
1545,tea,team,0.00777352
1546,teac,teach,1.0
1547,teach,teachi,0.18944844
1548,teach,teache,0.81055156
1549,teachi,teachin,1.0
1550,teachin,teaching,1.0
1551,teaching,teachings,1.0
1552,teachings,teachings,1.0
1553,teache,teacher,0.40384615
1554,teache,teaches,0.59615385
1555,teacher,teachers,1.0
1556,teachers,teachers,1.0
1557,teaches,teaches,1.0
1558,tear,teari,1.0
1559,teari,tearin,1.0
1560,tearin,tearing,1.0
1561,tearing,tearing,1.0
1562,team,teami,1.0
1563,teami,teamin,1.0
1564,teamin,teaming,1.0
1565,teaming,teaming,1.0
1566,tee,teet,1.0
1567,teet,teeth,1.0
1568,teeth,teethi,1.0
1569,teethi,teethin,1.0
1570,teethin,teething,1.0
1571,teething,teething,1.0
1572,ter,terr,1.0
1573,terr,terri,1.0
1574,terri,terrib,1.0
1575,terrib,terribl,1.0
1576,terribl,terrible,1.0
1577,terrible,terrible,1.0
1578,to,tou,6.703e-05
1579,to,top,0.03828531
1580,to,ton,0.18903075
1581,to,tog,0.77261691
1582,tou,touc,1.0
1583,touc,touch,1.0
1584,touch,touche,1.0
1585,touche,toucher,1.0
1586,toucher,touchers,1.0
1587,touchers,touchers,1.0
1588,top,topp,1.0
1589,topp,toppi,1.0
1590,toppi,toppin,1.0
1591,toppin,topping,1.0
1592,topping,toppings,1.0
1593,toppings,toppings,1.0
1594,ton,toni,0.57981993
1595,ton,tong,0.42018007
1596,toni,tonig,1.0
1597,tonig,tonigh,1.0
1598,tonigh,tonight,1.0
1599,tonight,tonights,1.0
1600,tonights,tonights,1.0
1601,tong,tongu,1.0
1602,tongu,tongue,0.9679814
1603,tongu,tongui,0.0320186
1604,tongue,tonguer,0.00083773
1605,tongue,tongued,0.02121287
1606,tongue,tongues,0.9779494
1607,tonguer,tonguers,1.0
1608,tonguers,tonguers,1.0
1609,tongued,tongued,1.0
1610,tongues,tongues,1.0
1611,tongui,tonguin,1.0
1612,tonguin,tonguing,1.0
1613,tonguing,tonguing,1.0
1614,tog,toge,1.0
1615,toge,toget,1.0
1616,toget,togeth,1.0
1617,togeth,togethe,1.0
1618,togethe,together,1.0
1619,together,together,1.0
1620,th,thr,0.72252533
1621,th,thi,0.08643204
1622,th,tho,0.17299136
1623,th,tha,0.01805127
1624,thr,thro,1.0
1625,thro,throw,0.11373136
1626,thro,throu,0.88003075
1627,thro,throa,0.00623789
1628,throw,throwe,0.00725199
1629,throw,throwi,0.99274801
1630,throwe,thrower,1.0
1631,thrower,throwers,1.0
1632,throwers,throwers,1.0
1633,throwi,throwin,1.0
1634,throwin,throwing,1.0
1635,throwing,throwing,1.0
1636,throu,throug,1.0
1637,throug,through,1.0
1638,through,through,1.0
1639,throa,throat,1.0
1640,throat,throats,1.0
1641,throats,throats,1.0
1642,thi,thir,0.03280005
1643,thi,thin,0.48443671
1644,thi,thic,0.48276324
1645,thir,thirt,1.0
1646,thirt,thirti,1.0
1647,thirti,thirtie,1.0
1648,thirtie,thirties,1.0
1649,thirties,thirties,1.0
1650,thin,thinn,1.0
1651,thinn,thinne,0.76371425
1652,thinn,thinni,0.23628575
1653,thinne,thinner,0.52469694
1654,thinne,thinnes,0.43965985
1655,thinne,thinned,0.03564321
1656,thinner,thinners,1.0
1657,thinners,thinners,1.0
1658,thinnes,thinnest,1.0
1659,thinnest,thinnest,1.0
1660,thinned,thinned,1.0
1661,thinni,thinnin,1.0
1662,thinnin,thinning,1.0
1663,thinning,thinning,1.0
1664,thic,thick,1.0
1665,thick,thicke,1.0
1666,thicke,thickes,0.05851359
1667,thicke,thicker,0.94148641
1668,thickes,thickest,1.0
1669,thickest,thickest,1.0
1670,thicker,thicker,1.0
1671,tho,thou,1.0
1672,thou,thoug,1.0
1673,thoug,though,1.0
1674,though,thought,1.0
1675,thought,thoughts,1.0
1676,thoughts,thoughts,1.0
1677,tha,than,1.0
1678,than,thank,1.0
1679,thank,thanki,0.49358974
1680,thank,thanke,0.50641026
1681,thanki,thankin,1.0
1682,thankin,thanking,1.0
1683,thanking,thanking,1.0
1684,thanke,thanked,1.0
1685,thanked,thanked,1.0
1686,tw,twe,1.0
1687,twe,twen,1.0
1688,twen,twent,1.0
1689,twent,twenti,1.0
1690,twenti,twentie,1.0
1691,twentie,twenties,1.0
1692,twenties,twenties,1.0
1693,tu,tur,1.0
1694,tur,turn,1.0
1695,turn,turni,1.0
1696,turni,turnin,1.0
1697,turnin,turning,1.0
1698,turning,turnings,1.0
1699,turnings,turnings,1.0
1700,ti,tin,0.03903393
1701,ti,tim,0.96096607
1702,tin,tini,1.0
1703,tini,tinie,1.0
1704,tinie,tinies,1.0
1705,tinies,tiniest,1.0
1706,tiniest,tiniest,1.0
1707,tim,timi,1.0
1708,timi,timin,1.0
1709,timin,timing,1.0
1710,timing,timings,1.0
1711,timings,timings,1.0
1712,ta,tal,0.99810371
1713,ta,tak,0.00189629
1714,tal,tall,0.16612428
1715,tal,talk,0.83387572
1716,tall,talle,1.0
1717,talle,talles,1.0
1718,talles,tallest,1.0
1719,tallest,tallest,1.0
1720,talk,talke,0.00390262
1721,talk,talki,0.99609738
1722,talke,talker,1.0
1723,talker,talkers,1.0
1724,talkers,talkers,1.0
1725,talki,talkin,1.0
1726,talkin,talking,1.0
1727,talking,talking,1.0
1728,tak,taki,1.0
1729,taki,takin,1.0
1730,takin,taking,1.0
1731,taking,takings,1.0
1732,takings,takings,1.0
1733,r,re,0.91889525
1734,r,ru,0.03543537
1735,r,ro,0.01810824
1736,r,ri,0.00025221
1737,r,ra,0.02730893
1738,re,rec,0.10793702
1739,re,rem,0.26668243
1740,re,ret,0.13758001
1741,re,rea,0.34005472
1742,re,rev,0.0587888
1743,re,rep,0.04906309
1744,re,ref,0.03427824
1745,re,res,0.00559458
1746,re,red,2.112e-05
1747,rec,reco,0.24933096
1748,rec,rece,0.75066904
1749,reco,recog,1.0
1750,recog,recogn,1.0
1751,recogn,recogni,1.0
1752,recogni,recogniz,1.0
1753,recogniz,recognizi,0.99980494
1754,recogniz,recognize,0.00019506
1755,recognizi,recognizin,1.0
1756,recognizin,recognizing,1.0
1757,recognizing,recognizing,1.0
1758,recognize,recognizer,1.0
1759,recognizer,recognizers,1.0
1760,recognizers,recognizers,1.0
1761,rece,recei,1.0
1762,recei,receiv,1.0
1763,receiv,receivi,0.24561404
1764,receiv,receive,0.75438596
1765,receivi,receivin,1.0
1766,receivin,receiving,1.0
1767,receiving,receiving,1.0
1768,receive,received,0.43355482
1769,receive,receives,0.56644518
1770,received,received,1.0
1771,receives,receives,1.0
1772,rem,reme,0.19988756
1773,rem,remi,0.07420505
1774,rem,rema,0.17650827
1775,rem,remo,0.54939912
1776,reme,remem,1.0
1777,remem,rememb,1.0
1778,rememb,remembe,1.0
1779,remembe,remember,1.0
1780,remember,rememberi,0.20571199
1781,remember,remembere,0.20000891
1782,remember,remembers,0.59427909
1783,rememberi,rememberin,1.0
1784,rememberin,remembering,1.0
1785,remembering,remembering,1.0
1786,remembere,rememberer,5.571e-05
1787,remembere,remembered,0.99994429
1788,rememberer,rememberers,1.0
1789,rememberers,rememberers,1.0
1790,remembered,remembered,1.0
1791,remembers,remembers,1.0
1792,remi,remin,1.0
1793,remin,remind,1.0
1794,remind,remindi,0.29964084
1795,remind,reminde,0.25500257
1796,remind,reminds,0.44535659
1797,remindi,remindin,1.0
1798,remindin,reminding,1.0
1799,reminding,reminding,1.0
1800,reminde,reminded,1.0
1801,reminded,reminded,1.0
1802,reminds,reminds,1.0
1803,rema,remai,1.0
1804,remai,remain,1.0
1805,remain,remaini,0.3041415
1806,remain,remaine,0.15875755
1807,remain,remains,0.53710095
1808,remaini,remainin,1.0
1809,remainin,remaining,1.0
1810,remaining,remaining,1.0
1811,remaine,remained,1.0
1812,remained,remained,1.0
1813,remains,remains,1.0
1814,remo,remov,1.0
1815,remov,removi,0.25571726
1816,remov,remove,0.74428274
1817,removi,removin,1.0
1818,removin,removing,1.0
1819,removing,removing,1.0
1820,remove,removed,0.7113594
1821,remove,removes,0.2886406
1822,removed,removed,1.0
1823,removes,removes,1.0
1824,ret,retu,1.0
1825,retu,retur,1.0
1826,retur,return,1.0
1827,return,returni,0.31660517
1828,return,returne,0.34391144
1829,return,returns,0.33948339
1830,returni,returnin,1.0
1831,returnin,returning,1.0
1832,returning,returning,1.0
1833,returne,returned,1.0
1834,returned,returned,1.0
1835,returns,returns,1.0
1836,rea,reas,0.2972707
1837,rea,real,0.15762274
1838,rea,read,0.34269017
1839,rea,reac,0.20241638
1840,reas,reaso,1.0
1841,reaso,reason,1.0
1842,reason,reasoni,0.05333467
1843,reason,reasone,0.05072318
1844,reason,reasons,0.89594215
1845,reasoni,reasonin,1.0
1846,reasonin,reasoning,1.0
1847,reasoning,reasoning,1.0
1848,reasone,reasoned,1.0
1849,reasoned,reasoned,1.0
1850,reasons,reasons,1.0
1851,real,reali,0.61924607
1852,real,reale,0.38075393
1853,reali,realiz,1.0
1854,realiz,realizi,0.39155705
1855,realiz,realize,0.60844295
1856,realizi,realizin,1.0
1857,realizin,realizing,1.0
1858,realizing,realizing,1.0
1859,realize,realizes,0.48717949
1860,realize,realized,0.51282051
1861,realizes,realizes,1.0
1862,realized,realized,1.0
1863,reale,reales,1.0
1864,reales,realest,1.0
1865,realest,realest,1.0
1866,read,readi,0.27337425
1867,read,ready,0.00170774
1868,read,reade,0.72491801
1869,readi,readie,0.00240952
1870,readi,readin,0.99759048
1871,readie,readies,0.06164021
1872,readie,readier,0.06005291
1873,readie,readied,0.87830688
1874,readies,readiest,1.0
1875,readiest,readiest,1.0
1876,readier,readier,1.0
1877,readied,readied,1.0
1878,readin,reading,1.0
1879,reading,readings,1.0
1880,readings,readings,1.0
1881,ready,readyi,1.0
1882,readyi,readyin,1.0
1883,readyin,readying,1.0
1884,readying,readying,1.0
1885,reade,reader,1.0
1886,reader,readers,1.0
1887,readers,readers,1.0
1888,reac,reach,1.0
1889,reach,reache,0.78611046
1890,reach,reachi,0.21388954
1891,reache,reacher,0.00547925
1892,reache,reached,0.41469639
1893,reache,reaches,0.57982436
1894,reacher,reachers,1.0
1895,reachers,reachers,1.0
1896,reached,reached,1.0
1897,reaches,reaches,1.0
1898,reachi,reachin,1.0
1899,reachin,reaching,1.0
1900,reaching,reaching,1.0
1901,rev,reve,1.0
1902,reve,revea,1.0
1903,revea,reveal,1.0
1904,reveal,reveale,0.30051813
1905,reveal,reveals,0.69948187
1906,reveale,revealed,1.0
1907,revealed,revealed,1.0
1908,reveals,reveals,1.0
1909,rep,repl,0.57161775
1910,rep,repe,0.42838225
1911,repl,repli,0.90586985
1912,repl,reply,0.09413015
1913,repli,replie,1.0
1914,replie,replier,5.315e-05
1915,replie,replies,0.89523618
1916,replie,replied,0.10471066
1917,replier,repliers,1.0
1918,repliers,repliers,1.0
1919,replies,replies,1.0
1920,replied,replied,1.0
1921,reply,replyi,1.0
1922,replyi,replyin,1.0
1923,replyin,replying,1.0
1924,replying,replying,1.0
1925,repe,repea,1.0
1926,repea,repeat,1.0
1927,repeat,repeate,0.49275362
1928,repeat,repeats,0.50724638
1929,repeate,repeated,1.0
1930,repeated,repeated,1.0
1931,repeats,repeats,1.0
1932,ref,refu,1.0
1933,refu,refus,1.0
1934,refus,refusi,0.34952607
1935,refus,refuse,0.65047393
1936,refusi,refusin,1.0
1937,refusin,refusing,1.0
1938,refusing,refusing,1.0
1939,refuse,refuses,0.37613843
1940,refuse,refused,0.62386157
1941,refuses,refuses,1.0
1942,refused,refused,1.0
1943,res,rest,1.0
1944,rest,resti,1.0
1945,resti,restin,1.0
1946,restin,resting,1.0
1947,resting,resting,1.0
1948,red,redd,1.0
1949,redd,redde,1.0
1950,redde,reddes,1.0
1951,reddes,reddest,1.0
1952,reddest,reddest,1.0
1953,ru,run,0.81937862
1954,ru,rus,0.0671406
1955,ru,rub,0.11348078
1956,run,runn,1.0
1957,runn,runni,0.82262211
1958,runn,runne,0.17737789
1959,runni,runnin,1.0
1960,runnin,running,1.0
1961,running,runnings,1.0
1962,runnings,runnings,1.0
1963,runne,runner,1.0
1964,runner,runners,1.0
1965,runners,runners,1.0
1966,rus,rush,1.0
1967,rush,rushi,1.0
1968,rushi,rushin,1.0
1969,rushin,rushing,1.0
1970,rushing,rushing,1.0
1971,rub,rubb,1.0
1972,rubb,rubbi,1.0
1973,rubbi,rubbin,1.0
1974,rubbin,rubbing,1.0
1975,rubbing,rubbing,1.0
1976,ro,rou,0.45407706
1977,ro,roo,0.01110848
1978,ro,rol,0.33696403
1979,ro,row,0.0942881
1980,ro,roc,0.10356234
1981,rou,roun,1.0
1982,roun,round,1.0
1983,round,rounde,0.57449223
1984,round,roundi,0.42550777
1985,rounde,rounder,0.17242741
1986,rounde,rounded,0.82757259
1987,rounder,rounders,1.0
1988,rounders,rounders,1.0
1989,rounded,rounded,1.0
1990,roundi,roundin,1.0
1991,roundin,rounding,1.0
1992,rounding,rounding,1.0
1993,roo,roof,0.06307978
1994,roo,room,0.93692022
1995,roof,roofi,1.0
1996,roofi,roofin,1.0
1997,roofin,roofing,1.0
1998,roofing,roofings,1.0
1999,roofings,roofings,1.0
